text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
若报导抵触受众的核心信念,3.5,4.0,0.5,0.0
叫不醒一个丧失了立场,3.0,4.0,0.0,2.0
法轮功学员反迫害不也是维权运动吗,5.0,6.25,0.894,0.829
但实际上它给你的是日复一日的倦怠,3.4,5.25,0.49,0.829
它让你无暇顾及亲情,3.667,3.333,0.471,1.7
这就很能说明问题了,6.5,5.75,0.866,1.479
但我较欣赏后者,6.667,5.333,0.943,0.471
这本身就代表著一份觉察力,7.0,5.0,0.0,0.816
你也许会很失望,3.5,5.5,0.5,0.5
西医治了多家医院,6.75,5.25,0.433,0.433
真中药越来越匮乏,4.0,5.0,0.707,0.816
人们就会身不由己地迷失在无常的洪流之中,3.4,4.2,0.49,1.47
感情最终要放下,4.0,3.667,0.816,1.247
比如是医疗改革,6.0,4.0,0.0,0.0
都是如今的习维尼已经全面复辟甚至变本加厉的内容,2.4,6.0,0.49,1.732
干脆彻底禁止宣传邓小平关于党和国家领导体制的改革内容,3.5,6.5,0.5,0.5
当你选择看过程的时候时间已经悄赤卤q你身边溜走啦等你反应过来顿悟啦已经是两鬓斑白啦那还是算是智者吗,2.667,7.667,0.471,0.943
这才在周日早上宣布征收关,5.0,5.667,0.0,0.471
没有他也没有新中国这点不可否认,5.667,5.75,0.471,1.299
当然并不是说刘电工发明这个学说而是他自身就是受殖民地考试工厂生产出的考试机器,5.0,4.0,0.0,0.0
直到晚上回家才看到地震的讯息,4.0,4.667,0.707,0.471
那几天我在网上看到许多来自灾区的残酷图片,3.2,5.75,1.47,0.433
定期来宾的村上佳菜子,5.0,2.0,0.0,1.414
令人厌烦般的找碴又无理取闹呢,3.0,7.25,0.0,1.09
保罗与火箭助教驳斥报导,3.5,6.0,0.5,1.581
发表真理赐给人悔改的道,6.75,3.6,0.433,1.855
过了整整一天才有进去救援,3.25,4.4,0.433,2.417
美国已经清楚的讲说,5.0,4.0,0.0,2.449
让蔡英文保有模糊空间,4.5,4.0,0.5,1.0
他这种文风是智商隔离,4.0,4.667,0.816,2.055
或是声称自己是中国人就可以处处受礼遇尊敬,3.0,4.75,0.707,1.09
背信以及压榨百姓之下,1.5,5.0,0.5,2.0
人他爸很有钱不然怎么能买新闻啊,3.333,6.667,0.471,0.943
所以人的素质比较能提高,6.333,4.0,0.471,1.633
别被末世的法利赛人迷惑,4.0,7.5,0.0,0.5
人得留心倾听主的声音,6.0,3.5,0.0,1.118
牧师长老为什么能公然违背主的话,3.0,6.6,0.0,0.49
但人口数则相反,3.5,5.5,0.5,0.5
他们也感染了绿色宜人的英格兰和英国其他地区,6.333,4.333,0.943,0.943
我会粉碎你的脸,2.5,8.5,0.5,0.5
在我的生活中有著独特的巴贝多文化投入,5.667,6.333,0.471,0.943
输入我的巴贝多心灵,5.0,6.5,1.0,0.5
我一定会很难过,2.75,8.0,0.433,0.707
都改听国外的流行音乐,5.0,3.2,0.0,1.6
可是说谎就不同,4.0,4.2,0.0,1.939
就愈让人们怀疑这些故事,4.0,5.0,0.707,0.707
刘鹤赴美只求川普下手轻点,5.0,3.4,0.0,1.744
孟晚舟申请中止诉讼,5.0,2.667,0.0,1.247
学历最高30分,4.667,4.333,0.471,0.471
工作经验最高10分,5.333,2.333,0.471,1.247
产业要具有创新性,6.667,6.0,0.471,0.816
只有穷人才整天在推上勾心斗角骂骂咧咧,3.0,6.75,0.0,0.433
我妈现在催婚的手段越来越高明了,4.0,5.75,0.707,1.299
岂不知等到再继续肆虐耍流氓,3.0,5.333,0.0,0.471
我们试图追踪每天在全球范围内的中国境外的每一笔交易,5.667,4.0,0.471,1.633
它还有多少空间可以造谣撒,3.0,5.0,0.0,1.581
但就阻止江青组阁而言,4.333,6.333,0.471,0.471
如果供产商的产品随时可能被课以高关税就会影响他的销售价格和自己的利润,5.0,6.0,0.0,0.0
又笨的不醒的占多数,3.0,4.25,0.0,1.09
所以到时候只是换人殖民罢了,3.5,5.333,0.5,0.471
我们要避免这一天的到来,4.667,6.0,0.943,0.816
哇咿感谢开群!!也偷偷的加入了!,6.667,7.667,0.471,0.471
最近欣喜若狂地吃了辣味豆干,6.667,6.5,0.471,1.5
结果肠胃超级燃烧,3.75,6.0,0.433,1.414
我为何不先存档是智障吗,3.0,7.5,0.0,1.118
哎呀说的人畅想无限,6.0,5.333,0.816,2.055
从胜利走向更伟大的胜利,6.667,6.667,0.471,0.471
我已经是瑟瑟发抖了,3.0,6.0,0.0,0.0
还有一个理由大概是因为他俩遭遇很类似吧,4.0,5.0,1.0,0.0
连饭都不肯自己吃,3.5,5.5,0.5,0.5
吃了高血压可就拿不下来了,3.4,5.8,0.49,0.98
那是咱们的幸运,7.0,5.667,0.0,0.471
讳疾忌医是古人就抨击过的,4.0,4.5,0.0,0.866
我甚至开始享受吃药这件事情,6.0,6.0,1.633,0.816
美爹的军火商可高兴坏了,8.0,8.0,0.816,1.0
各种糟糕和热闹诶,4.5,5.0,0.5,1.0
我们庆幸在网际网路时代翻墙,6.4,5.25,0.49,0.433
很多人还在争论要不要存粮,4.6,4.25,0.49,0.829
我在美国四次被人进行身体上的侵犯,2.333,6.0,0.943,0.816
或者说警方在保护这几个人,5.333,4.667,0.471,0.943
甜甜的蜂蜜口感,6.5,3.5,0.5,1.118
美国和中国都处在政治上最黑暗的时代,2.5,5.75,0.5,0.829
不如此早就被灭了,3.667,6.333,0.471,0.943
换了你和他处于当年的白色恐怖之中,3.333,6.0,0.471,1.414
中共最受信任的危机管理者回到了政治前线,6.5,5.25,0.5,1.299
虽然宗教的核心是神秘的和超出人世的,6.0,3.0,0.0,1.414
30年来谈64各方由于种种原因回避其国际背景,3.0,5.333,0.816,0.471
国有化本身就已经抛弃了经济发展,4.25,5.5,0.433,1.118
现在社交软体都会向使用者申请读取联络人的许可权,5.667,3.0,0.471,1.414
其实我觉得这世界上就没有种族歧视,5.0,6.333,0.707,0.943
可是上次见又觉得挺帅的,7.0,4.75,0.707,1.785
或者工作失败咋搞,3.0,6.667,0.0,0.471
喘息的时间与机会,5.667,3.25,0.471,2.278
难道变瘦之前都不能穿合适的运动内衣和排汗运动裤练,3.333,7.333,0.471,0.471
恶男才不准进健身房啦,3.0,7.25,0.0,0.829
只要冠佑讲话就会自动忽略的病,5.0,4.0,1.0,2.0
每次见面还是很新鲜呢,6.5,6.0,0.5,0.0
讯息曝光后紧急搬家,4.0,4.333,0.0,0.943
真心觉得她很强,6.5,5.0,0.5,2.0
我不承认有这么糟糕的爸爸,3.0,6.8,0.0,0.98
网路上随便哪个相同兴趣的很少会是同伴,4.0,6.333,0.707,0.471
我觉得应该是心跳之后除魔法以外,5.5,4.333,0.5,0.471
那是我第一次跟他单独会面的地方,5.0,3.333,0.0,2.625
肉身在国的你虽能深度解析却难以尽情评论习及习团队,3.5,5.5,0.5,0.5
虽然我们都很独立,5.667,2.667,0.943,1.247
最近几天累积了,4.5,4.0,0.5,0.0
重点系有个聚脚点方便聚聚,5.333,4.0,0.471,2.16
研究人员的性别可能影响实验鼠的疼痛反应,5.0,3.75,0.0,1.92
回宿舍等老大揪喝酒,7.0,6.667,0.816,1.886
都变得很有理由了,5.0,3.5,1.0,0.5
取消香港关系法吧,4.5,3.25,0.5,1.479
进一步侵蚀高度自治,3.0,6.667,0.0,0.471
但涉及到战后的国际秩序,4.333,2.667,0.471,1.7
单位时间震动的次数,5.0,1.5,0.0,0.866
品尝入口当下的美味才是最棒的,6.75,6.0,0.829,0.0
三点多回到家浑身无力,3.5,5.5,0.5,1.5
上照抄我标题的句子让我很害羞,5.5,5.667,0.5,0.471
但在无形中其实大家都看得出来,5.0,4.667,0.0,0.471
地科老师就在上课时大力评批忧郁症的人都是养尊处优,2.25,6.0,1.299,0.816
真的是让人很厌恶啊,3.0,5.333,0.0,0.943
当初自己为什么离开,5.0,5.0,0.0,0.0
平田博士说现在确实有问题,3.6,3.5,0.49,0.5
仿佛现在并没有足够的能力去思考自己是谁,3.333,4.333,0.471,2.055
难得悠闲的旅程,7.25,3.8,1.09,1.939
再加上人品爆发,6.0,4.5,0.0,1.118
一直勉强自己做不擅长的事,3.0,5.667,0.0,0.471
而自己也没有那么无能,6.0,6.75,0.0,0.433
管理层太商业化到无底线,3.6,5.0,0.49,0.707
同埋防守部署失误,3.0,3.333,0.0,2.055
柏克莱睡眠专家,5.0,3.0,0.0,2.0
缺乏睡眠使你笨拙健忘,3.333,5.333,0.471,0.471
缺乏睡眠会扭曲你的基因,4.5,4.75,0.5,0.829
我只有五分之一都成日不是凭空消失就是被猫藏起来,4.6,2.5,0.49,1.118
如释重负般的舒畅,7.0,5.0,0.0,1.0
自叹一生书里活,4.0,4.0,0.0,0.707
除了极个别选择原谅她的,4.0,5.333,0.816,0.943
无一例外都离婚了,2.667,6.333,0.943,0.471
根本无心力再去关心什么大事,3.0,5.2,0.0,0.98
而俄军根本不理会他们,4.0,5.0,0.0,0.0
所以我很羡慕我弟,5.0,5.0,1.414,0.816
不用在意旁人眼光,6.0,3.75,1.414,1.299
有时候我理解有些人他们会反感,5.667,4.667,0.471,0.471
是上者制定给下者遵守,5.0,4.0,0.0,3.0
自己却毫不在意,4.5,4.5,0.5,0.5
拍卖的钱若有超过,6.0,4.667,0.816,2.625
什么征服宇宙啊,3.5,6.5,0.5,0.5
除非被魔鬼夺取了心智,4.0,4.8,0.0,1.47
自认为没做到100分,4.0,4.4,0.707,2.417
但因为你的妈妈生病了,3.6,4.75,0.49,0.829
这样就无情那每支球队都不用换血了啊,3.5,7.667,0.5,0.471
当数千阿里客户卷入卖假,4.0,4.0,0.0,0.0
必须做出残酷抉择,3.0,6.5,0.0,1.118
甚至分开只是合理化你的行为,3.0,5.0,0.0,0.816
你没办法照顾到我,3.0,5.0,0.0,0.894
风驷云轩愁誓约,3.0,6.0,0.0,2.0
你今日的不顺是因你早期的自负与自私,3.0,6.4,0.0,1.2
孩子的成长你从来不参与,3.0,6.5,0.0,0.5
山川不改人情异,4.0,5.0,0.0,0.0
我们便会去除一切的恶行,6.333,4.0,0.471,0.816
摸著她稚嫩的脸庞,5.5,5.0,0.5,0.0
老是躲在哀怨中,3.0,5.6,0.0,1.356
没有及早观察到她的缺陷,3.0,5.4,0.0,1.2
当你的生命力在我眼前一点一滴消逝,3.0,4.4,0.0,1.855
美国无意与伊朗战争,5.333,2.333,0.471,1.247
有点像是小资产阶级或军阀,5.0,3.0,0.0,2.0
也非常重视善恶有报的惩罚,5.667,4.333,0.471,2.494
作为终极审判者,5.0,2.667,0.0,1.7
我们必须服从历史的不合理的力量,4.667,4.333,0.471,2.494
脑袋发热糊涂蛋,2.5,7.0,0.5,0.707
惟当权贪婪的瞳孔,2.75,4.25,0.433,1.785
让人民慢慢失控,3.0,7.0,0.0,1.0
却得到一鼰赤?,4.333,4.0,0.471,2.449
就算再心痛也看不透,2.75,6.0,0.433,1.414
同时焦虑还会跑进来乱我真的4不知道该怎么办,3.0,5.5,0.0,1.118
出兵80人上战场,4.667,4.0,0.471,2.449
被战火岁所吞没,3.0,5.333,0.0,1.247
所签署的约定!,5.5,7.0,0.5,0.0
因为中共以15年为期答应改善经济体质的约定并未遵守!,3.0,7.75,0.0,0.433
?自在菩萨行深般若波罗蜜多时照见五,5.333,1.333,0.471,0.471
一致否决中国电信巨擘中国移动在美国的营运申请案,4.0,5.2,0.707,2.04
中国外交部批评美方此举是,4.0,3.6,0.0,1.744
人生没什么后悔的事,6.667,2.0,0.471,0.816
当年学生时代应该要加入辩论社团,4.4,4.4,0.49,1.855
手扶梯固定站左边,5.0,2.8,0.0,1.6
分别判刑1年3个月及4年半,4.5,3.25,0.5,0.829
为中国企业赴美投资提供一个公平,6.0,4.25,0.0,0.829
这个人他拿到照片的途径是非常可耻的,2.333,5.667,0.943,1.886
不停地找事物来迷恋,5.333,4.333,1.7,2.055
并不是因为生活太无趣太无聊,4.4,5.5,0.49,0.5
金犊奖0512,5.0,1.667,0.0,0.471
能否让阿姨画一下自己的知识框架体系,6.0,5.5,0.0,0.5
明白自己知道什么且立场坚定,6.0,6.25,0.0,1.299
如果高超的技巧运用得不得要领,3.5,3.75,0.5,1.09
妨碍了我们了解人物以及人物的行为,3.75,4.6,0.433,0.49
但在这个噱头下这部番真的太平庸了,4.333,6.0,0.471,0.816
有自信会活得比较开心一点,7.5,6.0,0.5,0.0
保证能吃的都吃腻了,4.0,4.2,0.0,1.833
特别是那种西装革履的,5.333,4.333,0.471,2.357
既然别人不理你了,4.0,7.0,0.0,0.0
日本都吃原子弹了,3.4,6.0,0.49,1.414
因为身处咒术协会很快被平息了下来,6.0,4.5,0.0,1.5
也得以发现了咒术的天赋,6.5,5.5,0.5,0.5
身上所有值钱财物被贼人骗走,3.5,5.75,0.5,0.433
这这这这太太过分啦,2.5,8.75,0.5,0.433
若非遭到欺骗和背叛,3.6,5.2,0.49,1.47
和恋人分手的可能性微乎其微,5.667,3.667,0.943,2.055
高价医材是另一件事情,5.0,5.0,0.0,0.0
是故意用来让我自爆的武器,3.6,5.25,0.49,1.09
还以为我学生证造假,4.0,5.25,0.0,0.829
还不快慎重的道歉,4.0,7.0,1.414,0.816
什么功利至上真是失了智,3.0,6.667,0.0,0.943
把我和?中人分开,5.0,1.0,0.0,0.0
发觉自己连私生活也没有,3.0,6.5,0.0,0.5
根本意图使人破戒,3.0,6.5,0.0,1.118
熟悉又模糊的名字,5.0,5.667,0.0,0.471
她应该从国会中被删除,3.667,4.333,0.471,0.471
我恨我自己太晚跟随到神圣大师,3.75,7.25,0.433,1.09
如今吃的毛豆甜汤除了喜爱之外,7.0,4.0,0.0,2.121
翻了一下电脑意外找到以前去社团表演编了一个口水歌的组曲,6.333,6.0,0.471,0.816
靠北这根本郭台铭示范如何一次得罪所有年轻选民啊,3.0,7.0,0.0,0.0
这不就郭台铭版的功德说,4.0,6.0,0.707,0.0
一直轮回还是一直纠缠,3.4,5.25,0.49,0.829
其实都承受不起,3.0,6.5,1.0,0.5
满心欢喜挥手像个孩子,7.5,6.0,1.118,2.121
创造2018年度国内基因领域最大募资金额,6.5,3.5,0.5,0.5
就算是恶作剧也一样,3.6,6.0,0.49,0.707
无论你怎么嘲讽,5.25,6.0,0.829,0.707
宇宙超级无敌大仙女嘻嘻,7.0,6.0,0.894,0.894
一些长辈的看法是感到荒谬,4.0,5.0,0.0,0.816
怎么这么不懂事,3.0,7.0,0.707,0.707
也会在有限的时间内有效运用资源,6.5,3.25,0.5,1.785
这点宗和日日树最明显,5.0,3.667,0.0,1.7
这个世界一是给魔鬼领导,3.0,7.667,0.0,0.471
你要让我使你进步成圣,6.0,5.0,0.0,2.098
义勇推感觉都是懂得体现自己欲望的成熟大人,6.75,3.25,0.433,0.433
人力是一种资源,5.333,4.333,0.471,1.247
最近才因为我随意地使用弄破两个马克杯,3.5,3.0,0.5,0.816
已随季节更迭而培养起的身体敏锐知觉,6.4,5.0,0.49,0.707
还有勇气远去吗,3.667,3.0,0.943,1.414
这些坚果超营养,8.0,6.4,0.707,1.356
你的池塘已枯竭,4.0,5.0,0.0,0.0
这样的诠释有点太过神奇,5.667,5.5,0.471,0.5
资讯多到数不清的世界,5.667,5.667,0.471,0.471
逢年过节才会碰到,5.5,4.0,0.5,0.0
谈判有三大分歧,4.0,3.333,0.816,1.247
践踏抑制宗?信仰欺压百姓,2.0,7.0,0.707,1.0
当然必需要靠透视的帮忙,5.667,4.667,0.943,1.247
一款有魅力的新茶,6.333,6.0,0.471,1.581
也可设定灯光亮度,5.6,3.0,0.49,1.414
而且同步时不够精确,4.0,3.4,0.894,1.625
美食化解的不仅是饥饿,6.0,5.333,0.816,1.7
本药是激发人体荷尔蒙产生壹种互相吸引力,5.333,4.667,0.471,0.943
含有较多的脂肪,4.6,3.0,0.49,1.673
女生就会更不勇敢,4.0,4.5,0.707,2.693
这是中国人极其不理智地自绝于传统,2.5,5.75,0.5,0.829
是总在革新传统,6.0,6.0,1.633,0.0
我是看节目才知道男人很愚蠢,3.0,5.75,0.0,0.829
组装起来很顺利,7.0,4.5,0.0,1.118
爹最近沉迷翻墙听迷之小广播,4.5,4.5,0.5,0.5
还是会默默付出,6.0,3.5,0.0,0.5
才华横溢位新秀2019,7.333,6.333,0.471,1.7
要求美国行政部门积极支援扩大台湾的国际参与,6.667,6.0,0.471,0.816
跟随人民日报逻辑,4.667,3.0,0.471,1.414
我脑子里智慧多到满出来,6.5,6.2,0.5,1.47
是你们支撑著我,7.0,6.667,0.0,0.471
全心奉献给所有家庭成员,7.5,6.25,0.5,0.829
先生说你偶尔可以依赖我,5.0,3.5,0.0,1.5
就多少体贴一点吧,5.5,4.5,0.5,0.5
10美股盘中反弹,5.0,5.333,0.707,0.471
亏损资金没有形成规模,5.667,3.0,0.471,1.633
妳支撑了多少支持者的心灵,6.333,6.333,0.471,0.471
可是再如此悲伤也有过去的一天,6.5,6.0,0.5,0.707
人一无所有的时候最清醒,3.667,4.667,1.247,1.7
什么就会折磨你,3.333,3.75,0.471,1.92
以延毕一年的代价,4.0,5.25,0.0,0.829
活该被压在地上摩擦,3.0,5.6,0.0,2.154
还可以促进课金,6.75,4.6,0.433,1.855
是觉得自己辜负了那些帮我加油,3.0,4.8,0.0,1.833
中华人民共和国内政腐败侵害人权,1.5,5.5,0.5,0.5
各种委屈的硕珍,4.0,3.0,0.816,2.16
但我还是接受不了他的土方,3.333,6.0,0.471,0.816
土方真的太毁灭,3.6,6.6,0.49,0.49
你经常受到生活中不如意的事所影响,4.0,5.667,0.0,0.471
可悲可叹可恨可怜啊,2.5,8.0,0.5,0.894
某地发生一起少年恶性伤人事件,3.0,5.0,0.0,1.414
你和所有人都是平等的,6.0,5.0,0.0,0.0
导致跑步完有点呕吐,3.5,5.0,0.5,2.0
式翻盘太精彩了,7.0,6.0,0.0,1.0
每一次引爆都会造成巨大地震,4.0,3.75,0.707,1.92
而且郭蹲下去的时候她的肢体僵硬到,3.333,4.0,0.471,2.55
卖弄一下矫情的文字或有限度的性感是,4.5,4.0,0.5,2.236
常常看到许多人把自己和伴侣的性生活,4.667,5.333,0.471,0.471
以命相搏是无奈之举,3.6,5.25,0.49,0.829
的计划再受挫折,3.0,4.667,0.0,1.247
每个群有助教维持秩序和整理问题,6.0,3.0,0.0,0.816
为病人保守隐私,6.5,4.333,0.5,0.943
这颗破掉的水饺和这颗漂亮的水饺你要吃哪一颗,5.0,4.0,0.0,0.0
同时性格刻画鲜明,6.0,4.75,0.0,0.433
并且可能是令人羞辱地,3.0,5.25,0.0,0.829
我们在原则问题上决不让步,6.0,6.667,0.816,0.943
但是看到他们频繁申请我还是很暴躁,3.667,6.0,0.471,0.816
自认为稍有松懈就会被别人抢走饭碗,4.0,5.667,0.0,0.471
甜心自己挖了个坑,4.25,4.0,0.433,1.414
的姿势可以降低你从障碍物后露出的轮廓,5.0,4.0,0.0,1.0
参选者大都以为自己有本事使台湾经济繁荣就可以被拥护当选,4.0,5.0,0.0,1.414
英超异常激烈的争冠大戏,6.0,6.5,0.0,1.803
连别人行房都逃不过他们那睿智的眼光,3.667,4.667,0.471,1.247
一定要把这个邪恶的体制彻底消灭,6.5,6.5,0.5,0.5
可惜没有奶只能靠召唤石辅助,3.5,4.0,0.5,0.0
五毛你恬不知耻,3.0,5.25,0.0,1.299
失业潮涌向街头,3.6,4.25,0.49,0.829
女政治家搞政治未必都是为了女权,5.5,6.0,0.5,0.816
我太了解自己了,6.667,5.0,0.471,1.633
韩指环评增加业者负担,4.0,4.2,0.0,2.227
拿撒勒人被人出卖钉上十字架,3.0,4.25,0.0,0.829
直击灵魂的拷问,4.333,5.667,0.471,1.247
武汉这块地界到底隐藏者什么,6.0,6.0,0.0,0.0
也就是异性间的隔阂和同性间的竞争,4.0,4.5,0.0,0.5
臭狗屎你也跟他辩论,3.333,7.333,0.471,0.471
这些人很可怜的,3.0,6.667,0.0,1.247
是中国的独特现象,5.0,4.333,0.0,2.494
郭文贵借股市用来炫耀自己,3.75,6.0,0.433,1.0
巧克力香味很有诱惑力,7.5,6.0,0.5,0.707
中国花馍艺术节近日在陕西渭南举办,5.333,3.0,0.471,1.633
无论他编造的郭条条有多完美,4.0,5.75,0.0,0.433
迷人的台湾太鲁阁风景引游客参观,7.5,4.75,0.5,0.829
但情人海滩仍然美得惊人,8.0,7.4,0.707,1.356
以其壮观的自然环境,6.5,6.333,0.5,0.943
夹在雄伟的岩石之间,5.5,3.5,0.5,1.118
清澈的蓝色海水,6.0,2.333,0.0,1.886
担当的他可以分担唱歌时的高音,7.0,5.5,0.0,0.5
但还是有意外了,3.5,4.5,0.5,0.5
郭台铭同时澄清说,5.0,5.667,0.0,1.7
就一帮说中文的不知什么人不断地在这里制造恐慌,3.0,7.0,0.0,0.816
绯闻总能占据微博热搜版,3.6,5.75,0.49,0.829
就这样不知不觉为你著迷了,6.6,5.6,0.49,0.49
把西方谨慎论调当侏儒,3.5,5.5,0.5,0.5
我们只是落向广袤大地的无数雨滴中那无名的一滴,4.0,2.75,0.0,0.829
整个口业爆炸性癖曝光,3.25,5.5,0.433,0.5
幼稚园时期的我,5.0,2.667,0.0,1.7
用纯真的心看见,7.4,5.0,0.49,1.225
374643人受伤,3.0,3.0,0.894,1.581
77应该比较算天然的自尊心高,5.5,2.5,0.5,1.5
生命逝去的悲痛,2.0,7.75,0.894,1.299
相互扶持的坚强,6.667,4.333,0.471,0.471
废墟上的重新站立,6.5,5.25,0.5,1.09
因为你遗传了妈妈的个性或是态度或是气质,6.0,4.5,0.0,0.5
水果的酸甜感跟巧克力的味道搭配起来满和谐的,6.333,4.333,0.471,0.471
他都会细心舔毛1,5.333,3.667,0.943,1.886
祝福全天下的母亲,7.333,4.0,0.471,2.16
今天逛诚品买了两本书,5.667,3.0,0.943,0.816
然后就把手机遗失在公车上了,4.0,5.333,0.0,0.471
你们可以侮辱我,3.0,7.333,0.816,1.247
和粑粑总是无障碍交流,6.667,4.667,0.943,0.471
实际上纽约慈航基金与慈善没有半毛关系,4.667,3.75,0.471,1.92
而且还精心准备了诸如体育用品,6.5,6.0,0.5,0.0
来自中国第一大电信运营商的忏悔,3.5,2.5,0.5,0.5
为祖国效劳是我的荣幸,7.0,6.5,0.0,1.118
凭什么这样的事情要保密,3.25,6.75,0.433,0.829
回国无门且官司缠身,2.5,5.75,0.5,0.433
焦虑的时候都靠滑手机来逃离,4.0,5.0,0.894,0.707
这样犹豫徘徊浪费了生命,3.667,5.0,0.471,0.816
傻一点不要批判,4.5,3.5,0.5,0.5
只是暂时为周恩来的替补罢了,4.0,5.25,0.0,0.433
我们班很多男的给我们俩起过讥讽的外号,3.0,5.5,0.0,0.866
也社交障碍不敢主动询问,3.0,4.6,0.0,1.744
不要说这么可怕的话嘛,4.333,4.75,0.471,1.299
人家才不是坏人呢,6.0,5.5,0.0,2.062
你是不是严重低估了小孩的小聪明和智商,3.6,6.75,0.49,0.829
以及家长本来就应该有的教养责任,5.25,5.4,0.433,1.356
撕开郭九条的伪装,3.75,7.0,0.433,0.707
是种身心舒适状态,6.6,3.25,0.49,0.829
反而下定决心与兄长一战,5.0,5.25,0.0,1.92
疑犯左手中枪后继续驾车逃走,3.667,4.667,0.471,0.471
被赶到的巡逻车警员制服,6.0,4.0,0.0,1.414
挣扎明天要不要去乙女市集,5.0,5.0,0.0,2.0
闹剧而沾沾自喜,4.333,4.667,1.247,1.247
以无知小丑的表演形式淋漓尽致的演绎,5.0,4.333,1.414,0.943
军事以混淆视听,4.5,3.0,0.5,1.0
企图将自己从刑事罪犯华丽转身为,3.667,6.0,0.471,1.0
为何区区一个政治庇护都需要申请,3.333,6.333,0.471,0.471
使人心支离破碎,3.0,5.25,0.0,1.92
是人类历史上绝无仅有的存在,6.333,6.667,0.471,2.055
达到鱼目混珠的效果,4.5,3.8,0.5,2.04
那些所谓的伤心痛苦和生活相比狗屁都不算,3.0,7.333,0.707,0.471
在世的短暂的一生中,4.5,3.5,0.5,0.5
又称季节性懒惰症候群,4.0,4.5,0.0,0.5
当然是理世宝贝,7.0,5.667,0.816,1.247
九州伴手礼推荐,5.6,4.0,0.49,1.673
永远都很耀眼的两人,7.0,5.667,0.707,0.471
衣服设计的很丑,3.333,6.333,0.471,0.943
当男性夸夸其谈鄙视身边女性的观影片单,3.0,6.667,0.0,0.943
您的孩子也会有突出的一面的,6.5,5.333,0.5,0.471
那种酸葡萄的孬种就别浪费口水了,3.25,7.0,0.433,1.225
我非常了解和钦佩的人,7.0,6.0,0.707,0.816
巨大的自豪感以及他在板球场上的巨大技能的巨大满足感,6.0,4.0,0.0,0.0
以及把这个世界交给撒旦路西法和他的堕落天使以及他们的反基督,3.333,4.75,0.471,2.586
当基督徒向他们发出关于这些精神实体的警告时,4.0,4.6,0.0,1.855
远离政治和媒体,4.833,4.857,0.373,0.833
以免被他们占便宜,4.0,6.0,0.707,0.816
钻研社会福祉的菁英,7.0,5.0,0.0,0.816
由于北京的网路封锁政策,3.667,3.333,0.471,1.7
习近平内外交战,4.667,4.333,0.471,0.943
乐于维持恶化现状,2.0,6.0,0.0,0.0
海军节过度维稳曝光,5.5,4.0,0.5,1.0
非洲猪瘟病毒流入本港令市民人心惶惶,3.0,6.0,0.0,1.414
没能说服美方取消2,3.4,4.0,0.49,0.707
川普总统认为美国吃亏上当太久了,4.5,4.75,0.5,0.829
这衹是权宜之计,4.5,5.5,0.5,0.5
那就让川普的鲁莽和冲动给那些人长个记性,4.0,4.667,0.816,2.625
不然倒楣的还是投资者,4.0,4.5,0.0,0.5
包含怎么应付一些有的没的,4.333,3.5,0.471,1.118
我们试图把他拉出来,4.333,4.0,0.471,2.16
商界已无助力可借,3.333,5.0,0.471,0.0
重赏也已经获胜了不可能会被处理掉,5.5,6.0,0.5,0.816
都是我用尽全力写的文,7.667,6.0,0.943,2.449
今天缺席家族聚餐的,4.0,5.0,0.0,0.707
但是数量多这一点你必须承认,5.0,5.25,0.0,0.829
众人忙惊惶相问,3.5,7.0,0.5,1.0
粤港澳大湾区城市挑战赛香港站得奖队伍出炉,6.0,4.0,1.0,1.0
缺点是有先入为主的观念可能吞不下,4.0,5.0,0.0,0.707
我就真的辞职给他看,3.4,6.5,0.49,0.5
头发会不停地自动长长,6.0,4.333,0.816,0.943
以及防水可以撑一整天的画眉毛用具,6.0,3.2,0.0,1.833
第一次来万国纪念公园,6.0,4.667,0.0,0.943
不少部员表现的很出色,7.5,6.25,0.5,1.09
因为有计较的时候,4.0,5.0,0.0,0.0
过敏体质人深有感触,4.667,6.0,0.471,0.816
来试试创业?挑战同埋刺激,6.0,6.25,0.0,1.09
这便是汝的恶习唷,3.6,5.25,0.49,0.829
时期的甜蜜现在的,4.5,4.0,0.5,0.0
不论我怎么期盼,4.0,4.5,0.0,1.5
那台湾人还在客气什么,4.0,6.6,0.707,1.356
特朗普下令启动余下3千亿美元中国货征税程式,5.0,2.75,0.0,1.479
最艰难的期末考,3.667,6.0,0.471,1.581
必须先学会辩解,5.0,5.0,0.0,0.0
跟水槽里的脏碗盘一样,3.4,5.5,0.49,1.118
道理不是尽在美国那边,4.667,6.333,0.471,0.943
他们激动又欣慰,7.0,7.0,0.0,0.0
中美贸易战的胜败取决于时机,5.0,5.75,0.0,1.299
练习过量劳损了,2.0,6.0,0.0,0.816
路过看到顺手点赞喔,5.667,3.667,0.471,2.055
我认识的军公教是都满节俭的,6.0,3.667,0.0,1.247
买菜买水果却选次级品,3.6,5.75,0.49,1.09
高一时候做的小花束现在还没丢掉呢,6.0,6.0,0.0,0.816
放到高三已经是干燥花了,4.667,4.0,0.471,0.816
连我刚刚去报案也处处刁难,3.0,6.0,0.0,0.707
不用再假装自己在乎我,3.0,7.5,0.0,0.5
直面质疑中共政权,4.667,5.333,0.943,1.247
